layer_id	layer_name	comp_time	comm_size
0	attention	827111	0
0	moe	644113	381419520
1	attention	827111	0
1	moe	644113	381419520
2	attention	827111	0
2	moe	644113	381419520
3	attention	405776	0
3	moe	644113	381419520
4	attention	827111	0
4	moe	644113	381419520
5	attention	827111	0
5	moe	644113	381419520
6	attention	827111	0
6	moe	644113	381419520
7	attention	405776	0
7	moe	644113	381419520
8	attention	827111	0
8	moe	644113	381419520
9	attention	827111	0
9	moe	644113	381419520
10	attention	827111	0
10	moe	644113	381419520
11	attention	405776	0
11	moe	644113	381419520
12	attention	827111	0
12	moe	644113	381419520
13	attention	827111	0
13	moe	644113	381419520
14	attention	827111	0
14	moe	644113	381419520
15	attention	405776	0
15	moe	644113	381419520
16	attention	827111	0
16	moe	644113	381419520
17	attention	827111	0
17	moe	644113	381419520
18	attention	827111	0
18	moe	644113	381419520
19	attention	405776	0
19	moe	644113	381419520
20	attention	827111	0
20	moe	644113	381419520
21	attention	827111	0
21	moe	644113	381419520
22	attention	827111	0
22	moe	644113	381419520
23	attention	405776	0
23	moe	644113	381419520
24	attention	827111	0
24	moe	644113	381419520
25	attention	827111	0
25	moe	644113	381419520
26	attention	827111	0
26	moe	644113	381419520
27	attention	405776	0
27	moe	644113	381419520
28	attention	827111	0
28	moe	644113	381419520
29	attention	827111	0
29	moe	644113	381419520
30	attention	827111	0
30	moe	644113	381419520
31	attention	405776	0
31	moe	644113	381419520
32	attention	827111	0
32	moe	644113	381419520
33	attention	827111	0
33	moe	644113	381419520
34	attention	827111	0
34	moe	644113	381419520
35	attention	405776	0
35	moe	644113	381419520
36	attention	827111	0
36	moe	644113	381419520
37	attention	827111	0
37	moe	644113	381419520
38	attention	827111	0
38	moe	644113	381419520
39	attention	405776	0
39	moe	644113	381419520
40	attention	827111	0
40	moe	644113	381419520
41	attention	827111	0
41	moe	644113	381419520
42	attention	827111	0
42	moe	644113	381419520
43	attention	405776	0
43	moe	644113	381419520
44	attention	827111	0
44	moe	644113	381419520
45	attention	827111	0
45	moe	644113	381419520
46	attention	827111	0
46	moe	644113	381419520
47	attention	405776	0
47	moe	644113	381419520
